Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
12/04/2024,AIS,000660 KS,6450267,SK Hynix Inc,185.000000,164900.000000,21744.54,3.47%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,2332 TT,6254878,D-Link Corp,2552.000000,21.500000,1685.01,0.27%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,2345 TT,6005214,Accton Technology Corp,207.000000,708.000000,4500.76,0.72%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,2376 TT,6129181,Gigabyte Technology Co Ltd,1747.000000,278.000000,14914.89,2.38%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,2382 TT,6141011,Quanta Computer Inc,797.000000,293.000000,7171.47,1.14%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,2408 TT,6283601,Nanya Technology Corp,3040.000000,33.800000,3155.53,0.50%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,2451 TT,6350497,Transcend Information Inc,1597.000000,91.300000,4477.73,0.71%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,2512042D,040413205,Arista Networks Inc,160.000000,103.615000,16578.40,2.64%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,3231 TT,6672481,Wistron Corp,701.000000,115.000000,2475.70,0.39%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,3515 TT,B1FGXJ9,ASROCK Inc,196.000000,234.000000,1408.49,0.22%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,3704 TT,6103367,Zyxel Group Corp,1152.000000,41.600000,1471.73,0.23%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,5269 TT,B6ZZQ69,ASMedia Technology Inc,45.000000,1645.000000,2273.32,0.36%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,6531 TT,BWY5316,AP Memory Technology Corp,389.000000,303.500000,3625.69,0.58%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,6701 JP,6640400,NEC Corp,41.000000,13250.000000,3641.70,0.58%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,AAOI,03823U102,Applied Optoelectronics Inc,127.000000,41.740000,5300.98,0.85%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,AEIS,007973100,Advanced Energy Industries Inc,122.000000,118.050000,14402.10,2.30%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,AIP,04302A104,Arteris Inc,174.000000,8.730000,1519.02,0.24%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,AMD,007903107,Advanced Micro Devices Inc,171.000000,141.980000,24278.58,3.87%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,ATEN,002121101,A10 Networks Inc,98.000000,17.230000,1688.54,0.27%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,AWE LN,BNDRMJ1,Alphawave IP Group PLC,1574.000000,1.378000,2746.02,0.44%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,BDC,077454106,Belden Inc,15.000000,122.710000,1840.65,0.29%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,CDW,12514G108,CDW Corp/DE,8.000000,179.630000,1437.04,0.23%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,CHKP,M22465104,Check Point Software Technologies Ltd,25.000000,187.090000,4677.25,0.75%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,CIEN,171779309,Ciena Corp,49.000000,71.050000,3481.45,0.56%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,CLS CN,BSCB6L9,Celestica Inc,27.000000,125.820000,2415.06,0.39%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,COMM,20337X109,CommScope Holding Co Inc,906.000000,4.790000,4339.74,0.69%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,CRDO,G25457105,Credo Technology Group Holding Ltd,52.000000,70.690000,3675.88,0.59%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,CSCO,17275R102,Cisco Systems Inc,253.000000,59.480000,15048.44,2.40%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,CVLT,204166102,Commvault Systems Inc,172.000000,170.390000,29307.08,4.67%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,DELL,24703L202,Dell Technologies Inc,116.000000,125.560000,14564.96,2.32%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,DGII,253798102,Digi International Inc,63.000000,33.240000,2094.12,0.33%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,DIOD,254543101,Diodes Inc,64.000000,63.650000,4073.60,0.65%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,EXTR,30226D106,Extreme Networks Inc,121.000000,17.270000,2089.67,0.33%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,FLEX,Y2573F102,Flex Ltd,87.000000,38.670000,3364.29,0.54%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,GFS,G39387108,GLOBALFOUNDRIES Inc,550.000000,44.630000,24546.50,3.92%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,GLW,219350105,Corning Inc,260.000000,49.170000,12784.20,2.04%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,HPE,42824C109,Hewlett Packard Enterprise Co,173.000000,21.300000,3684.90,0.59%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,INTC,458140100,Intel Corp,943.000000,22.470000,21189.21,3.38%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,JNPR,48203R104,Juniper Networks Inc,76.000000,35.460000,2694.96,0.43%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,KRW,CASHKRW,SOUTH KOREA WON,-29392689.000000,1.000000,-20950.63,-3.34%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,LR FP,B11ZRK9,Legrand SA,226.000000,94.740000,22519.18,3.59%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,LSCC,518415104,Lattice Semiconductor Corp,23.000000,58.280000,1340.44,0.21%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,MRVL,573874104,MARVELL TECHNOLOGY INC,199.000000,95.910000,19086.09,3.04%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,MTRS SS,BZ04921,Munters Group AB,778.000000,181.000000,12795.24,2.04%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,MTSI,55405Y100,MACOM Technology Solutions Holdings Inc,24.000000,141.030000,3384.72,0.54%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,MU,595112103,Micron Technology Inc,219.000000,99.840000,21864.96,3.49%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,NTAP,64110D104,NetApp Inc,11.000000,124.670000,1371.37,0.22%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,NVDA,67066G104,NVIDIA Corp,105.000000,140.260000,14727.30,2.35%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,NVTS,63942X106,Navitas Semiconductor Corp,351.000000,3.140000,1102.14,0.18%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,NXT AU,B5LMKP4,NEXTDC Ltd,122.000000,16.410000,1296.80,0.21%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,PANW,697435105,Palo Alto Networks Inc,16.000000,392.590000,6281.44,1.00%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,PENG,G8232Y101,Penguin Solutions Inc,238.000000,19.480000,4636.24,0.74%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,PSTG,74624M102,Pure Storage Inc,22.000000,53.540000,1177.88,0.19%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,RMBS,750917106,Rambus Inc,25.000000,58.640000,1466.00,0.23%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,SIMO,82706C108,Silicon Motion Technology Corp,79.000000,57.160000,4515.64,0.72%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,SMCI,86800U302,Super Micro Computer Inc,37.000000,40.210000,1487.77,0.24%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,SMTC,816850101,Semtech Corp,59.000000,66.950000,3950.05,0.63%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,SNX,87162W100,TD SYNNEX Corp,180.000000,122.390000,22030.20,3.51%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,STX,G7997R103,Seagate Technology Holdings PLC,25.000000,98.800000,2470.00,0.39%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,SWKS,83088M102,Skyworks Solutions Inc,39.000000,87.620000,3417.18,0.55%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,SYNA,87157D109,Synaptics Inc,254.000000,80.610000,20474.94,3.27%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,TSEM IT,6320605,Tower Semiconductor Ltd,77.000000,175.300000,3724.13,0.59%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,TSM,874039100,Taiwan Semiconductor Manufacturing Co Ltd,172.000000,198.890000,34209.08,5.46%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,TWD,CASHTWD,NEW TAIWAN DOLLAR,-1527564.310000,1.000000,-46911.76,-7.48%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,VICR,925815102,Vicor Corp,230.000000,55.760000,12824.80,2.05%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,VRT,92537N108,Vertiv Holdings Co,321.000000,128.160000,41139.36,6.56%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,WCC,95082P105,WESCO International Inc,21.000000,211.150000,4434.15,0.71%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,WDC,958102105,Western Digital Corp,61.000000,71.690000,4373.09,0.70%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,WOLF,977852102,Wolfspeed Inc,609.000000,10.500000,6394.50,1.02%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,ZS,98980G102,Zscaler Inc,19.000000,198.640000,3774.16,0.60%,626997.500000,25000,1.000000000000,
12/04/2024,AIS,Cash&Other,Cash&Other,Cash & Other,116208.970000,1.000000,116208.97,18.53%,626997.500000,25000,1.000000000000,Y
